city_name,country_name,continent,lat,lng,population,beaches,beaches_log,surf_spots,surf_spots_log,dive_centres,dive_centres_log,marinas,marinas_log,peaks,peaks_log,viewpoints,viewpoints_log,ski_areas,ski_areas_log,parks,parks_log,nature_reserves,nature_reserves_log,climbing_spots,climbing_spots_log,cycling_routes,cycling_routes_log,street_food,street_food_log,food_courts,food_courts_log,food_markets,food_markets_log,bakeries,bakeries_log,restaurants,restaurants_log,nightclubs,nightclubs_log,bars,bars_log,live_music,live_music_log,museums,museums_log,galleries,galleries_log,historic_sites,historic_sites_log,arts_centres,arts_centres_log,hotels,hotels_log,vibe_coastal,vibe_mountain,vibe_nature,vibe_food,vibe_nightlife,vibe_culture
Jakarta,Indonesia,Asia,-6.175,106.8275,33756000.0,5,0.778,0,0.0,0,0.0,20,1.322,0,0.0,12,1.114,0,0.0,678,2.832,1,0.301,3,0.602,0,0.0,0,0.0,38,1.591,0,0.0,112,2.053,1035,3.015,13,1.146,47,1.681,0,0.0,6,0.845,9,1.0,44,1.653,2,0.477,288,2.461,0.3639,0.2598,0.4006,0.5413,0.3773,0.4694
Tokyo,Japan,Asia,35.687,139.7495,37785000.0,2,0.477,0,0.0,0,0.0,4,0.699,7,0.903,125,2.1,0,0.0,2504,3.399,1,0.301,10,1.041,6,0.845,0,0.0,18,1.279,0,0.0,456,2.66,11256,4.051,152,2.185,1653,3.219,9,1.0,228,2.36,99,2.0,2275,3.357,19,1.301,578,2.763,0.215,0.5595,0.5656,0.5715,0.8619,0.9681
Delhi,India,Asia,28.61,77.23,32226000.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.602,3,0.602,0,0.0,1838,3.265,5,0.778,3,0.602,1,0.301,0,0.0,8,0.954,0,0.0,82,1.919,621,2.794,5,0.778,61,1.792,0,0.0,22,1.362,12,1.114,145,2.164,11,1.079,258,2.413,0.0,0.2678,0.566,0.4456,0.3285,0.6971
Guangzhou,China,Asia,23.13,113.26,26940000.0,0,0.0,0,0.0,0,0.0,4,0.699,65,1.82,23,1.38,0,0.0,304,2.484,1,0.301,2,0.477,1,0.301,0,0.0,3,0.602,0,0.0,41,1.623,485,2.687,1,0.301,20,1.322,2,0.477,28,1.462,4,0.699,155,2.193,4,0.699,142,2.155,0.1451,0.498,0.4594,0.3669,0.29,0.5942
Mumbai,India,Asia,19.0761,72.8775,24973000.0,9,1.0,0,0.0,0,0.0,0,0.0,11,1.079,4,0.699,0,0.0,542,2.735,3,0.602,0,0.0,0,0.0,0,0.0,4,0.699,0,0.0,64,1.813,494,2.695,5,0.778,42,1.633,0,0.0,3,0.602,4,0.699,70,1.851,1,0.301,111,2.049,0.1464,0.2261,0.4679,0.3969,0.3108,0.3885
Shanghai,China,Asia,31.2286,121.4747,24073000.0,0,0.0,0,0.0,0,0.0,9,1.0,3,0.602,11,1.079,0,0.0,482,2.684,0,0.0,7,0.903,2,0.477,0,0.0,18,1.279,0,0.0,192,2.286,1901,3.279,31,1.505,276,2.442,3,0.602,59,1.778,14,1.176,51,1.716,15,1.204,362,2.56,0.2076,0.3872,0.4264,0.5473,0.6391,0.7365
Seoul,"Korea, South",Asia,37.5667,126.9833,23016000.0,0,0.0,0,0.0,0,0.0,4,0.699,91,1.964,91,1.964,0,0.0,1064,3.027,1,0.301,3,0.602,81,1.914,0,0.0,11,1.079,0,0.0,465,2.668,15139,4.18,36,1.568,736,2.867,0,0.0,97,1.991,102,2.013,327,2.516,128,2.111,299,2.477,0.1451,0.6088,0.7339,0.5447,0.5793,0.9813
Dhaka,Bangladesh,Asia,23.7289,90.3944,19134000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.778,0,0.0,212,2.328,1,0.301,0,0.0,0,0.0,0,0.0,38,1.591,0,0.0,144,2.161,1401,3.147,2,0.477,14,1.176,0,0.0,12,1.114,1,0.301,81,1.914,4,0.699,113,2.057,0.0,0.1019,0.4006,0.5578,0.21,0.4728
Kolkāta,India,Asia,22.5675,88.37,21747000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.301,0,0.0,675,2.83,2,0.477,0,0.0,1,0.301,0,0.0,4,0.699,0,0.0,14,1.176,237,2.377,1,0.301,12,1.114,0,0.0,16,1.23,1,0.301,32,1.519,3,0.602,83,1.924,0.0,0.0394,0.4987,0.3244,0.1738,0.4344
Shenzhen,China,Asia,22.5415,114.0596,17619000.0,3,0.602,0,0.0,0,0.0,0,0.0,298,2.476,28,1.462,0,0.0,339,2.531,13,1.146,0,0.0,25,1.415,0,0.0,3,0.602,0,0.0,19,1.301,383,2.584,3,0.602,20,1.322,0,0.0,7,0.903,4,0.699,60,1.785,2,0.477,92,1.968,0.0881,0.4415,0.8657,0.3334,0.247,0.4494
